event_id,mother_decision_time,fold,event_net_return,assigned_controls,control_mean_return,excess
2024-05-06T12:00:00+00:00_S,2024-05-06 13:00:00+00:00,2024H1,-0.0011966040405628747,3,-0.009928911637884745,0.00873230759732187
2024-05-07T08:00:00+00:00_L,2024-05-07 09:00:00+00:00,2024H1,-0.01210656101376961,0,,
2024-05-07T11:00:00+00:00_S,2024-05-07 12:00:00+00:00,2024H1,-0.01051848585449444,3,-0.008127076575531094,-0.002391409278963346
2024-05-10T14:00:00+00:00_S,2024-05-10 15:00:00+00:00,2024H1,-0.000604646592356926,3,-0.005942622428447858,0.005337975836090932
2024-05-12T08:00:00+00:00_L,2024-05-12 09:00:00+00:00,2024H1,0.0015006962077155368,3,-0.007940536572715944,0.00944123278043148
2024-05-13T06:00:00+00:00_L,2024-05-13 07:00:00+00:00,2024H1,0.01694279286308764,3,-0.006086512287454565,0.023029305150542207
2024-05-20T04:00:00+00:00_L,2024-05-20 05:00:00+00:00,2024H1,-0.0097615887727992,3,-0.002595037323639821,-0.007166551449159378
2024-05-20T06:00:00+00:00_S,2024-05-20 07:00:00+00:00,2024H1,-0.0066831565981309,3,-0.004333569025581239,-0.0023495875725496607
2024-05-23T11:00:00+00:00_L,2024-05-23 12:00:00+00:00,2024H1,-0.008266788592330208,3,-0.0054544232483484,-0.002812365343981808
2024-05-26T13:00:00+00:00_L,2024-05-26 14:00:00+00:00,2024H1,-0.0029661248846580817,3,-0.006600547507921789,0.003634422623263707
2024-05-30T06:00:00+00:00_S,2024-05-30 07:00:00+00:00,2024H1,-0.004050155861957226,3,-0.004577861162874728,0.0005277053009175026
2024-06-02T11:00:00+00:00_L,2024-06-02 12:00:00+00:00,2024H1,-0.010436105182513809,3,0.001850736847917812,-0.012286842030431622
2024-06-04T10:00:00+00:00_L,2024-06-04 11:00:00+00:00,2024H1,-0.0011669424174345338,3,-0.004481450687149149,0.003314508269714615
2024-06-06T19:00:00+00:00_S,2024-06-06 20:00:00+00:00,2024H1,-0.007104255627023324,3,-0.004111518282513547,-0.002992737344509777
2024-06-10T12:00:00+00:00_S,2024-06-10 13:00:00+00:00,2024H1,-0.004229935624482815,3,-0.0030912907508869494,-0.0011386448735958656
2024-06-10T14:00:00+00:00_L,2024-06-10 15:00:00+00:00,2024H1,-0.0045704727172521924,3,-0.003218619867170645,-0.0013518528500815474
2024-06-18T00:00:00+00:00_S,2024-06-18 01:00:00+00:00,2024H1,-0.0018965696094133105,0,,
2024-07-07T13:00:00+00:00_S,2024-07-07 14:00:00+00:00,2024H2,-0.010676312874698944,3,-0.006027878244891406,-0.004648434629807538
2024-07-11T01:00:00+00:00_L,2024-07-11 02:00:00+00:00,2024H2,-0.015686594824627642,3,-0.008110101697664053,-0.007576493126963589
2024-07-12T13:00:00+00:00_L,2024-07-12 14:00:00+00:00,2024H2,-0.006417549167927359,0,,
2024-07-18T04:00:00+00:00_S,2024-07-18 05:00:00+00:00,2024H2,-0.0037359901260722844,0,,
2024-07-21T14:00:00+00:00_L,2024-07-21 15:00:00+00:00,2024H2,-0.011014591869034194,0,,
2024-07-23T02:00:00+00:00_L,2024-07-23 03:00:00+00:00,2024H2,-0.002863159637236377,3,-0.00359177855964987,0.0007286189224134931
2024-07-24T18:00:00+00:00_S,2024-07-24 19:00:00+00:00,2024H2,0.020762277048734235,3,-0.007270713876480629,0.028032990925214864
2024-07-27T21:00:00+00:00_L,2024-07-27 22:00:00+00:00,2024H2,-0.011082052093663418,3,-0.003110879996589801,-0.007971172097073617
2024-07-28T23:00:00+00:00_L,2024-07-29 00:00:00+00:00,2024H2,0.015344920060376134,3,-0.002830861244636679,0.018175781305012812
2024-07-31T19:00:00+00:00_S,2024-07-31 20:00:00+00:00,2024H2,0.011514300425396253,3,-0.00556775956868031,0.01708205999407656
2024-08-02T14:00:00+00:00_S,2024-08-02 15:00:00+00:00,2024H2,0.01974119584494549,3,-0.00764025939985872,0.02738145524480421
2024-08-08T01:00:00+00:00_L,2024-08-08 02:00:00+00:00,2024H2,0.003240850495066951,3,0.00311400805890716,0.00012684243615979085
2024-08-15T17:00:00+00:00_S,2024-08-15 18:00:00+00:00,2024H2,0.010720593605056951,3,0.0022110890603239323,0.008509504544733018
2024-08-16T09:00:00+00:00_L,2024-08-16 10:00:00+00:00,2024H2,-0.00900722710847479,0,,
