event_id,mother_decision_time,before,after,difference
2024-10-27T03:00:00+00:00_L,2024-10-27 04:00:00+00:00,,,
2024-10-30T20:00:00+00:00_L,2024-10-30 21:00:00+00:00,-0.003242562728130098,-0.0063494848442020215,-0.0031069221160719236
2024-10-31T01:00:00+00:00_L,2024-10-31 02:00:00+00:00,-0.0028597595635752775,-0.0015757761142412376,0.0012839834493340399
2024-10-31T10:00:00+00:00_L,2024-10-31 11:00:00+00:00,-0.0034950726822300013,-0.003730467253241591,-0.00023539457101158946
2024-11-01T15:00:00+00:00_S,2024-11-01 16:00:00+00:00,0.003405363835291256,-0.0040913186918926465,-0.007496682527183903
2024-11-02T08:00:00+00:00_S,2024-11-02 09:00:00+00:00,,,
2024-11-04T10:00:00+00:00_L,2024-11-04 11:00:00+00:00,,,
2024-11-04T16:00:00+00:00_S,2024-11-04 17:00:00+00:00,,,
2024-11-05T05:00:00+00:00_L,2024-11-05 06:00:00+00:00,,,
2024-11-13T13:00:00+00:00_L,2024-11-13 14:00:00+00:00,0.03223072965134025,0.03136415177922813,-0.000866577872112119
2024-11-17T11:00:00+00:00_S,2024-11-17 12:00:00+00:00,,,
2024-11-17T13:00:00+00:00_S,2024-11-17 14:00:00+00:00,,,
2024-11-18T15:00:00+00:00_L,2024-11-18 16:00:00+00:00,,,
2024-11-22T15:00:00+00:00_L,2024-11-22 16:00:00+00:00,0.002434417867699971,0.001633468282580856,-0.0008009495851191149
2024-11-23T14:00:00+00:00_L,2024-11-23 15:00:00+00:00,0.0003563074060846847,0.0003563074060846847,0.0
2024-11-23T15:00:00+00:00_S,2024-11-23 16:00:00+00:00,,,
2024-11-24T08:00:00+00:00_S,2024-11-24 09:00:00+00:00,,,
2024-11-28T18:00:00+00:00_L,2024-11-28 19:00:00+00:00,3.691670732434548e-05,-0.0008947950845310157,-0.0009317117918553612
2024-11-28T22:00:00+00:00_L,2024-11-28 23:00:00+00:00,,,
2024-11-30T10:00:00+00:00_S,2024-11-30 11:00:00+00:00,,,
2024-12-04T16:00:00+00:00_S,2024-12-04 17:00:00+00:00,-0.010536432374337582,-0.01150268786696714,-0.0009662554926295579
2024-12-04T18:00:00+00:00_L,2024-12-04 19:00:00+00:00,,,
2024-12-06T17:00:00+00:00_L,2024-12-06 18:00:00+00:00,0.006527167672253623,0.005196228422718016,-0.0013309392495356072
2024-12-08T19:00:00+00:00_L,2024-12-08 20:00:00+00:00,-0.002253666788541442,-0.002176604989031161,7.706179951028069e-05
2024-12-09T14:00:00+00:00_L,2024-12-09 15:00:00+00:00,,,
2024-12-09T15:00:00+00:00_S,2024-12-09 16:00:00+00:00,-0.0019008521611446985,0.00019772519122966204,0.0020985773523743605
2024-12-13T14:00:00+00:00_L,2024-12-13 15:00:00+00:00,-0.006450492238803044,-0.006450492238803044,0.0
2024-12-13T16:00:00+00:00_L,2024-12-13 17:00:00+00:00,,,
2024-12-14T19:00:00+00:00_L,2024-12-14 20:00:00+00:00,0.00010658873798445167,-0.0011466010445503327,-0.0012531897825347844
2024-12-14T20:00:00+00:00_S,2024-12-14 21:00:00+00:00,,,
2024-12-23T13:00:00+00:00_S,2024-12-23 14:00:00+00:00,0.008242202172918194,0.018916478421474182,0.010674276248555988
2024-12-24T13:00:00+00:00_L,2024-12-24 14:00:00+00:00,,,
