symbol,period,arm,entries,complete,net_profit_sum_independent_accounts,win_rate,mean_final_balance,max_adds
AEROUSDT,later,none,5.0,5.0,-96.2538493999999,0.2,80.74923012000002,0.0
AEROUSDT,later,two,5.0,5.0,-115.79713258999969,0.2,76.84057348200007,1.0
API3USDT,earlier,continuous,10.0,10.0,-107.57852610999974,0.6,89.24214738900002,1.0
API3USDT,earlier,continuous_unprotected,10.0,10.0,-107.57852610999974,0.6,89.24214738900002,1.0
API3USDT,earlier,none,10.0,10.0,-106.68288860999965,0.6,89.33171113900003,0.0
API3USDT,earlier,two,10.0,10.0,-107.57852610999974,0.6,89.24214738900002,1.0
API3USDT,later,continuous,4.0,4.0,-21.15593075999962,0.25,94.71101731000009,0.0
API3USDT,later,continuous_unprotected,4.0,4.0,-21.15593075999962,0.25,94.71101731000009,0.0
API3USDT,later,none,4.0,4.0,-21.15593075999962,0.25,94.71101731000009,0.0
API3USDT,later,two,4.0,4.0,-21.15593075999962,0.25,94.71101731000009,0.0
APTUSDT,earlier,continuous,12.0,12.0,-133.01018366999887,0.4166666666666667,88.9158180275001,0.0
APTUSDT,earlier,continuous_unprotected,12.0,12.0,-133.01018366999887,0.4166666666666667,88.9158180275001,0.0
APTUSDT,earlier,none,12.0,12.0,-133.01018366999887,0.4166666666666667,88.9158180275001,0.0
APTUSDT,earlier,two,12.0,12.0,-133.01018366999887,0.4166666666666667,88.9158180275001,0.0
APTUSDT,later,continuous,3.0,3.0,-66.27511267999967,0.0,77.90829577333345,0.0
APTUSDT,later,continuous_unprotected,3.0,3.0,-66.27511267999967,0.0,77.90829577333345,0.0
APTUSDT,later,none,3.0,3.0,-66.27511267999967,0.0,77.90829577333345,0.0
APTUSDT,later,two,3.0,3.0,-66.27511267999967,0.0,77.90829577333345,0.0
ARBUSDT,earlier,continuous,16.0,16.0,-107.04982983999886,0.375,93.30938563500007,2.0
ARBUSDT,earlier,continuous_unprotected,16.0,14.0,-221.25045960399922,0.2857142857142857,84.19639574257148,2.0
ARBUSDT,earlier,none,16.0,16.0,-49.50178085799877,0.375,96.90613869637508,0.0
ARBUSDT,earlier,two,16.0,16.0,-107.04982983999886,0.375,93.30938563500007,2.0
ARBUSDT,later,continuous,9.0,9.0,-148.36389211300036,0.3333333333333333,83.51512309855552,0.0
ARBUSDT,later,continuous_unprotected,9.0,9.0,-148.36389211300036,0.3333333333333333,83.51512309855552,0.0
ARBUSDT,later,none,9.0,9.0,-148.36389211300036,0.3333333333333333,83.51512309855552,0.0
ARBUSDT,later,two,9.0,9.0,-148.36389211300036,0.3333333333333333,83.51512309855552,0.0
ARUSDT,earlier,continuous,10.0,10.0,30.426126500000088,0.6,103.04261265,2.0
ARUSDT,earlier,continuous_unprotected,10.0,10.0,30.426126500000088,0.6,103.04261265,2.0
ARUSDT,earlier,none,10.0,10.0,67.25248979999995,0.6,106.72524897999999,0.0
ARUSDT,earlier,two,10.0,10.0,30.426126500000088,0.6,103.04261265,2.0
ARUSDT,later,continuous,3.0,3.0,0.2686561999998389,0.3333333333333333,100.08955206666661,0.0
ARUSDT,later,continuous_unprotected,3.0,3.0,0.2686561999998389,0.3333333333333333,100.08955206666661,0.0
ARUSDT,later,none,3.0,3.0,0.2686561999998389,0.3333333333333333,100.08955206666661,0.0
ARUSDT,later,two,3.0,3.0,0.2686561999998389,0.3333333333333333,100.08955206666661,0.0
BOMEUSDT,earlier,continuous,8.0,8.0,772.1277714790008,0.625,196.5159714348751,7.0
BOMEUSDT,earlier,continuous_unprotected,8.0,7.0,35.01410039219952,0.5714285714285714,105.00201434174278,5.0
BOMEUSDT,earlier,none,8.0,8.0,639.9047645071994,0.625,179.98809556339992,0.0
BOMEUSDT,earlier,two,8.0,8.0,733.6425441633996,0.625,191.70531802042495,2.0
BOMEUSDT,later,continuous,4.0,4.0,9.41492363969978,0.5,102.35373090992493,0.0
BOMEUSDT,later,continuous_unprotected,4.0,4.0,9.41492363969978,0.5,102.35373090992493,0.0
BOMEUSDT,later,none,4.0,4.0,9.41492363969978,0.5,102.35373090992493,0.0
BOMEUSDT,later,two,4.0,4.0,9.41492363969978,0.5,102.35373090992493,0.0
BTCUSDT,earlier,continuous,16.0,16.0,-184.0918523999989,0.125,88.49425922500006,3.0
BTCUSDT,earlier,continuous_unprotected,16.0,15.0,-269.60273059999986,0.06666666666666667,82.02648462666667,2.0
