bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
15m,k2_wick_share__le_q25,k2_wick_share,<=,0.25,0.2780000000000291,continuous,36,0.23841059602649006,23,13,0.22154641965249766,-34.79977158311479,7.9218861013821025,-14.259542730525428,-14.259542730525428,-12.42504063690236,True
15m,k2_wick_share__le_q50,k2_wick_share,<=,0.5,0.43622920517558555,continuous,73,0.48344370860927155,45,28,-2.0340891287426337,-23.5504131386819,5.666250552986972,-3.0101842860925387,-3.0101842860925387,-10.28692573529468,True
15m,k2_wick_share__ge_q50,k2_wick_share,>=,0.5,0.43622920517558555,continuous,79,0.5231788079470199,45,34,-14.038307089904425,-18.061253558160203,-6.33796740817482,2.4789752944291585,-6.33796740817482,-15.769701772444886,True
15m,k2_wick_share__ge_q75,k2_wick_share,>=,0.75,0.5912162162162453,continuous,39,0.2582781456953642,23,16,-3.0818123085187388,-28.84686985936259,4.618527373210866,-8.30664100677323,-8.30664100677323,-13.652092329377755,True
15m,k2_body_ratio__le_q25,k2_body_ratio,<=,0.25,0.21562952243123198,continuous,38,0.25165562913907286,23,15,-9.382619509019237,-23.13733149582096,-1.6822798272896327,-2.5971026432315973,-2.5971026432315973,-14.812111082756761,True
15m,k2_body_ratio__le_q50,k2_body_ratio,<=,0.5,0.3715319662243514,continuous,74,0.4900662251655629,45,29,-11.241483215054112,-25.308649074574785,-3.541143533324507,-4.768420221985423,-4.768420221985423,-16.7542914572987,True
15m,k2_body_ratio__ge_q50,k2_body_ratio,>=,0.5,0.3715319662243514,continuous,78,0.5165562913907285,45,33,-4.8039005277361095,-16.349798960541566,2.8964391539934953,4.190429892047796,2.8964391539934953,-9.68870371084611,True
15m,k2_body_ratio__ge_q75,k2_body_ratio,>=,0.75,0.5055970149254276,continuous,42,0.2781456953642384,23,19,2.1341271574790692,-19.089293718527816,9.834466839208673,1.4509351340615453,1.4509351340615453,-7.466944191190712,True
15m,k2_rejection_close_location__le_q25,k2_rejection_close_location,<=,0.25,0.6114819759679505,continuous,35,0.23178807947019867,23,12,-29.199522568730774,-9.778526825080588,-21.49918288700117,10.761702027508774,,-22.540895456622145,False
15m,k2_rejection_close_location__le_q50,k2_rejection_close_location,<=,0.5,0.7918478260869605,continuous,74,0.4900662251655629,45,29,-16.757564623342592,-21.95541238420644,-9.057224941612986,-1.4151835316170782,-9.057224941612986,-18.794559016113556,True
15m,k2_rejection_close_location__ge_q50,k2_rejection_close_location,>=,0.5,0.7918478260869605,continuous,78,0.5165562913907285,45,33,0.011563710077924495,-19.296582718744045,7.711903391807529,1.243646133845317,1.243646133845317,-8.157267471346755,True
15m,k2_rejection_close_location__ge_q75,k2_rejection_close_location,>=,0.75,0.9200603318250478,continuous,39,0.2582781456953642,23,16,-6.250354302977002,-11.767679316903434,1.4499853787526025,8.772549535685927,1.4499853787526025,-8.513872257408357,True
15m,k2_touch_depth_atr__le_q25,k2_touch_depth_atr,<=,0.25,0.0890639068505741,continuous,41,0.271523178807947,23,18,19.98215435955552,-27.216454175285172,27.682494041285125,-6.67622532269581,-6.67622532269581,-0.7391859728135636,True
15m,k2_touch_depth_atr__le_q50,k2_touch_depth_atr,<=,0.5,0.21546610704835328,continuous,79,0.5231788079470199,45,34,3.622257872603671,-14.006728502400021,11.322597554333276,6.533500350189341,6.533500350189341,-3.9649008204358935,True
