trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|69357|69358|short,pine-v9|short|69357|2023-12-27T02:45:00+00:00,short,69357,2023-12-27 02:45:00+00:00,2023-12-27 03:00:00+00:00,2023-12-27 08:30:00+00:00,stop,0.20386866887248767,-0.01290542480747847,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|69485|69486|long,pine-v9|long|69485|2023-12-28T10:45:00+00:00,long,69485,2023-12-28 10:45:00+00:00,2023-12-28 11:00:00+00:00,2023-12-28 14:45:00+00:00,stop,0.082677874512159,-0.020265487315865416,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|69579|69580|long,pine-v9|long|69579|2023-12-29T10:15:00+00:00,long,69579,2023-12-29 10:15:00+00:00,2023-12-29 10:30:00+00:00,2023-12-29 15:45:00+00:00,stop,0.2025150968063245,-0.019443555645703214,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|69667|69668|short,pine-v9|short|69667|2023-12-30T08:15:00+00:00,short,69667,2023-12-30 08:15:00+00:00,2023-12-30 08:30:00+00:00,2023-12-30 15:45:00+00:00,stop,0.0548848786558797,-0.013776655079722254,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|69807|69808|short,pine-v9|short|69807|2023-12-31T19:15:00+00:00,short,69807,2023-12-31 19:15:00+00:00,2023-12-31 19:30:00+00:00,2024-01-01 00:00:00+00:00,stop,0.14436785950335548,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|69841|69842|short,pine-v9|short|69841|2024-01-01T03:45:00+00:00,short,69841,2024-01-01 03:45:00+00:00,2024-01-01 04:00:00+00:00,2024-01-01 10:45:00+00:00,stop,0.13719057560393802,-0.014973481517954522,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|70218|70219|short,pine-v9|short|70218|2024-01-05T02:00:00+00:00,short,70218,2024-01-05 02:00:00+00:00,2024-01-05 02:15:00+00:00,2024-01-05 20:45:00+00:00,stop,0.22107953508184838,-0.0009999999999998881,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|70331|70332|short,pine-v9|short|70331|2024-01-06T06:15:00+00:00,short,70331,2024-01-06 06:15:00+00:00,2024-01-06 06:30:00+00:00,2024-01-07 13:30:00+00:00,stop,0.10073274820839245,-0.01479075509901717,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|70466|70467|short,pine-v9|short|70466|2024-01-07T16:00:00+00:00,short,70466,2024-01-07 16:00:00+00:00,2024-01-07 16:15:00+00:00,2024-01-08 07:15:00+00:00,stop,0.17714398499950332,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|70682|70683|long,pine-v9|long|70682|2024-01-09T22:00:00+00:00,long,70682,2024-01-09 22:00:00+00:00,2024-01-09 22:15:00+00:00,2024-01-10 02:30:00+00:00,stop,0.1619823907109081,-0.0010000000000001102,False,False
