signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
128105,2025-08-30 01:45:00+00:00,short,2.0,2.0,2.761133617525312,2.8172732185861387,1.0948323836149032,0.8613557195511546,-1.0,11.0,0.41381685030363385,3.1582574449132808,1.0,0.0784594798190877,0.5371172170647598,0.0,1.0,False,True,True,False,False,dense_l1,True,False
128437,2025-09-02 12:45:00+00:00,short,5.0,4.0,2.348282342515302,2.8629842275671233,1.2361513743940857,1.343254589028584,3.0,7.0,0.9798687566511528,3.602910077757435,0.8333333333333334,0.1047354077069131,0.7657323535927937,4.0,1.0,False,True,True,False,False,dense_l1,True,False
128512,2025-09-03 07:30:00+00:00,short,3.0,3.0,1.3168924913564262,1.4450971440637266,0.9819101943324307,0.47626983855217286,0.0,9.0,0.8112781244591328,0.13574015203123196,0.8333333333333334,0.034506053853314206,0.6760173041463203,1.0,1.0,False,True,True,True,True,dense_l1,True,False
128793,2025-09-06 05:45:00+00:00,short,4.0,4.0,2.363991582472345,3.0010663726729443,0.9840986847777263,0.26956655052450856,-2.0,10.0,0.6500224216483541,1.4088543701725538,0.8333333333333334,0.07226464839093245,0.644931350836331,0.0,2.0,False,False,False,False,False,dense_l1,False,False
128933,2025-09-07 16:45:00+00:00,short,2.0,2.0,1.2891447392694266,1.4236301952381734,1.0075414242669962,0.5463980057263748,-1.0,3.0,0.8112781244591328,0.7244686536664674,1.0,0.04868272369795667,0.513533503648602,0.0,1.0,False,False,False,False,False,dense_l1,False,False
129083,2025-09-09 06:15:00+00:00,long,2.0,2.0,1.3949337323255346,1.5702750317768301,1.072301209951691,0.5343855642696257,1.0,6.0,1.0,2.6030537882997358,0.8333333333333334,0.07614652570926216,0.6800386176862281,1.0,0.0,False,True,True,False,False,dense_l1,True,False
129340,2025-09-11 22:30:00+00:00,long,3.0,2.0,2.062595588038022,2.3055904785844588,0.9965462682420426,0.18388329795653635,1.0,12.0,0.0,1.6515501283981207,0.8333333333333334,0.0503267540356995,0.7353356847660883,1.0,0.0,False,True,True,True,False,dense_l1,True,False
129667,2025-09-15 08:15:00+00:00,short,9.0,7.0,1.225022417550684,1.497794789455051,1.2366491657247516,2.0755506056029582,-2.0,9.0,0.8112781244591328,3.0485137315904365,1.0,0.10594231256229998,0.8140610989030823,3.0,5.0,False,False,False,False,False,dense_l1,False,False
129867,2025-09-17 10:15:00+00:00,short,3.0,3.0,1.1153156183068424,1.370563053602361,0.9238188895358992,1.4455242327999533,-1.0,4.0,0.9182958340544896,1.099074012652037,0.6666666666666666,0.03229388303586502,0.5531564855765556,0.0,1.0,False,False,False,False,False,dense_l1,False,False
130024,2025-09-19 01:30:00+00:00,long,6.0,4.0,1.4655974163068846,1.8837510890333717,1.0729464413689869,0.24159648556025357,0.0,11.0,0.41381685030363385,0.471680799223628,1.0,0.052612884610521465,0.786014429159633,2.0,2.0,False,True,True,True,True,dense_l1,True,False
