event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2024-04-19T01:00:00+00:00_S,2024H1,abstain,2024-04-19T01:00:00+00:00_S::control0|2024-04-19T01:00:00+00:00_S::control1|2024-04-19T01:00:00+00:00_S::control2,3,0,3,0,True
2024-04-21T22:00:00+00:00_L,2024H1,abstain,2024-04-21T22:00:00+00:00_L::control0|2024-04-21T22:00:00+00:00_L::control1|2024-04-21T22:00:00+00:00_L::control2,3,0,3,0,True
2024-04-30T08:00:00+00:00_S,2024H1,abstain,2024-04-30T08:00:00+00:00_S::control0|2024-04-30T08:00:00+00:00_S::control1|2024-04-30T08:00:00+00:00_S::control2,3,1,2,0,True
2024-05-06T12:00:00+00:00_S,2024H1,abstain,2024-05-06T12:00:00+00:00_S::control0|2024-05-06T12:00:00+00:00_S::control1|2024-05-06T12:00:00+00:00_S::control2,3,0,3,0,True
2024-05-07T11:00:00+00:00_S,2024H1,abstain,2024-05-07T11:00:00+00:00_S::control0|2024-05-07T11:00:00+00:00_S::control1|2024-05-07T11:00:00+00:00_S::control2,3,1,2,0,True
2024-05-10T14:00:00+00:00_S,2024H1,accepted,2024-05-10T14:00:00+00:00_S::control0|2024-05-10T14:00:00+00:00_S::control1|2024-05-10T14:00:00+00:00_S::control2,3,1,2,0,True
2024-05-12T08:00:00+00:00_L,2024H1,abstain,2024-05-12T08:00:00+00:00_L::control0|2024-05-12T08:00:00+00:00_L::control1|2024-05-12T08:00:00+00:00_L::control2,3,1,2,0,True
2024-05-13T06:00:00+00:00_L,2024H1,abstain,2024-05-13T06:00:00+00:00_L::control0|2024-05-13T06:00:00+00:00_L::control1|2024-05-13T06:00:00+00:00_L::control2,3,0,3,0,True
2024-05-20T04:00:00+00:00_L,2024H1,abstain,2024-05-20T04:00:00+00:00_L::control0|2024-05-20T04:00:00+00:00_L::control1|2024-05-20T04:00:00+00:00_L::control2,3,0,3,0,True
2024-05-20T06:00:00+00:00_S,2024H1,abstain,2024-05-20T06:00:00+00:00_S::control0|2024-05-20T06:00:00+00:00_S::control1|2024-05-20T06:00:00+00:00_S::control2,3,0,3,0,True
2024-05-23T11:00:00+00:00_L,2024H1,abstain,2024-05-23T11:00:00+00:00_L::control0|2024-05-23T11:00:00+00:00_L::control1|2024-05-23T11:00:00+00:00_L::control2,3,0,3,0,True
2024-05-26T13:00:00+00:00_L,2024H1,abstain,2024-05-26T13:00:00+00:00_L::control0|2024-05-26T13:00:00+00:00_L::control1|2024-05-26T13:00:00+00:00_L::control2,3,0,3,0,True
2024-05-30T06:00:00+00:00_S,2024H1,abstain,2024-05-30T06:00:00+00:00_S::control0|2024-05-30T06:00:00+00:00_S::control1|2024-05-30T06:00:00+00:00_S::control2,3,0,3,0,True
2024-06-02T11:00:00+00:00_L,2024H1,accepted,2024-06-02T11:00:00+00:00_L::control0|2024-06-02T11:00:00+00:00_L::control1|2024-06-02T11:00:00+00:00_L::control2,3,1,2,0,True
2024-06-04T10:00:00+00:00_L,2024H1,abstain,2024-06-04T10:00:00+00:00_L::control0|2024-06-04T10:00:00+00:00_L::control1|2024-06-04T10:00:00+00:00_L::control2,3,0,3,0,True
2024-06-06T19:00:00+00:00_S,2024H1,accepted,2024-06-06T19:00:00+00:00_S::control0|2024-06-06T19:00:00+00:00_S::control1|2024-06-06T19:00:00+00:00_S::control2,3,0,3,0,True
2024-06-10T12:00:00+00:00_S,2024H1,abstain,2024-06-10T12:00:00+00:00_S::control0|2024-06-10T12:00:00+00:00_S::control1|2024-06-10T12:00:00+00:00_S::control2,3,0,3,0,True
2024-06-10T14:00:00+00:00_L,2024H1,abstain,2024-06-10T14:00:00+00:00_L::control0|2024-06-10T14:00:00+00:00_L::control1|2024-06-10T14:00:00+00:00_L::control2,3,0,3,0,True
2024-07-07T13:00:00+00:00_S,2024H2,accepted,2024-07-07T13:00:00+00:00_S::control0|2024-07-07T13:00:00+00:00_S::control1|2024-07-07T13:00:00+00:00_S::control2,3,0,3,0,True
